Sentence,Sentiment,processed_text,sentiment_text
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",
$SPY wouldn't be surprised to see a green close,positive,$SPY wouldn't be surprised to see a green close,
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE,
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",
Viking Line has canceled some services .,neutral,Viking Line has canceled some services .,
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",
$FB gone green on day,positive,$FB gone green on day,
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30%,
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,
The company closed last year with a turnover of about four million euros .,neutral,The company closed last year with a turnover of about four million euros .,
Shire CEO steps up drive to get Baxalta board talking,positive,Shire CEO steps up drive to get Baxalta board talking,
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: A Premier Retail Dividend Play $COST,
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",
All are welcome .,neutral,All are welcome .,
